"Genome ID","Genome Name","Version","Library Version","Variants","Acquired"
"665a03fda05b970081c90901","AYCs005","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70",""
"665a03fda05b970699c908f1","2683486_26","v3.0.1","0.0.16","",""
"665a03fda05b9706d4c908bf","2662264_H3","v3.0.1","0.0.16","",""
"665a03fda05b9707cac90910","AYCs020","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70","aph_3prime_III_1"
"665a03fda05b9708e5c908ae","2662247_G1","v3.0.1","0.0.16","",""
"665a03fda05b9709c1c9092c","AYCs055","v3.0.1","0.0.16","",""
"665a03fda05b9709d5c908fa","2683495_35","v3.0.1","0.0.16","",""
"665a03fda05b970a16c90945","AYCs083","v3.0.1","0.0.16","",""
"665a03fda05b970a5ec90954","SP_307","v3.0.1","0.0.16","",""
"665a03fda05b970c61c908e2","2683471_11","v3.0.1","0.0.16","",""
"665a03fda05b970e9fc908e1","2683470_10","v3.0.1","0.0.16","",""
"665a03fda05b970f94c908da","2683463_3","v3.0.1","0.0.16","",""
"665a03fda05b970fd1c908d5","2662286_F6","v3.0.1","0.0.16","",""
"665a03fda05b97108bc90923","AYCs041","v3.0.1","0.0.16","",""
"665a03fda05b971227c9092f","AYCs060","v3.0.1","0.0.16","",""
"665a03fda05b97125fc908ad","2662246_F1","v3.0.1","0.0.16","folP_aa_insert_57-70",""
"665a03fda05b971261c908d8","2683461_1","v3.0.1","0.0.16","",""
"665a03fda05b9712afc908c3","2662268_D4","v3.0.1","0.0.16","",""
"665a03fda05b971461c9094a","AYCs088","v3.0.1","0.0.16","",""
"665a03fda05b97147ac908ee","2683483_23","v3.0.1","0.0.16","",""
"665a03fda05b97167fc908cd","2662278_F5","v3.0.1","0.0.16","",""
"665a03fda05b971754c908b3","2662252_D2","v3.0.1","0.0.16","",""
"665a03fda05b97175fc90926","AYCs047","v3.0.1","0.0.16","",""
"665a03fda05b971778c908bc","2662261_E3","v3.0.1","0.0.16","folP_aa_insert_57-70",""
"665a03fda05b971878c90906","AYCs010","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70",""
"665a03fda05b9718efc908b9","2662258_B3","v3.0.1","0.0.16","",""
"665a03fda05b971bcbc90928","AYCs049","v3.0.1","0.0.16","",""
