"","Background","Serotype","Clone_N","max_od_mean","max_od_sd","N"
"1","15BC","1","2",0.266444444444444,0.0330155687180727,9
"2","15BC","11A","3",0.222222222222222,0.0122961150142817,9
"3","15BC","14","2",0.248444444444444,0.0457687423661365,9
"4","15BC","15BC","1",0.298555555555556,0.0477024923644224,9
"5","15BC","16F","9",0.174,0.0135,9
"6","15BC","18C","2",0.19,0.0260144190786571,9
"7","15BC","19A","3",0.246333333333333,0.0100124921972504,9
"8","15BC","22F","2",0.267888888888889,0.0173669545721497,9
"9","15BC","23A","2",0.263666666666667,0.0129421791055448,9
"10","15BC","24F","2",0.256222222222222,0.0256358039554925,9
"11","15BC","3","2",0.215777777777778,0.0121735140548834,9
"12","15BC","33F","3",0.256555555555556,0.0237860836998817,9
"13","15BC","35B","1",0.259555555555556,0.0146808643402825,9
"14","15BC","35F","1",0.245222222222222,0.0291666666666667,9
"15","15BC","6C","8",0.200333333333333,0.0549363267792815,9
"16","15BC","7C","1",0.274,0.0362594815186318,9
"17","15BC","7F","2",0.266,0.0215232432500309,9
"18","15BC","8","1",0.240888888888889,0.0140039676917333,9
"19","15BC","9V","1",0.253666666666667,0.021,9
"20","15BC","WT","1",0.250888888888889,0.0137244712506935,9
"21","15BC","deltacps","1",0.0965555555555556,0.0197744223121126,9
"22","22F","11A","1",0.116333333333333,0.0380065783779598,9
"23","22F","12F","1",0.191444444444444,0.0149089831235325,9
"24","22F","14","1.1",0.0745555555555556,0.0381579320427323,9
"25","22F","15BC","1.2",0.154,0.0587622327690158,9
"26","22F","16F","1",0.214333333333333,0.0484097097698385,9
"27","22F","18C","2",0.179333333333333,0.0600229122918907,9
"28","22F","19A","2",0.190444444444444,0.0100013887924517,9
"29","22F","22F","1",0.197444444444444,0.0155331187395764,9
"30","22F","23A","1",0.113111111111111,0.0369372591174699,9
"31","22F","24F","1",0.139777777777778,0.0364821112936799,9
"32","22F","3","9",0.137444444444444,0.0339746637625419,9
"33","22F","33F","1",0.164,0.0372894086839682,9
"34","22F","35B","2",0.122222222222222,0.0292479818866951,9
"35","22F","35F","1",0.232777777777778,0.0165210303687284,9
"36","22F","5","1",0.225888888888889,0.073646867625929,9
"37","22F","6C","2",0.153222222222222,0.0505044002483392,9
"38","22F","7C","1",0.257444444444444,0.0451417520459472,9
"39","22F","7F","1",0.139333333333333,0.0211246301742776,9
"40","22F","8","1.1",0.204888888888889,0.0418522533576283,9
"41","22F","9V","1",0.126444444444444,0.0605394728898244,9
"42","22F","WT","1",0.240333333333333,0.0478957200593122,9
"43","22F","deltacps","1",0.0756666666666667,0.0159216833280907,9
"44","Donor","1","1",0.201444444444444,0.0158675069805492,9
"45","Donor","10A","1",0.167,0.0418957038370284,9
"46","Donor","11A","1",0.134333333333333,0.0214242852856285,9
"47","Donor","12F","1",0.195555555555556,0.029698952469368,9
"48","Donor","14","1",0.176555555555556,0.0253777023738907,9
"49","Donor","15BC","1",0.250888888888889,0.0137244712506935,9
"50","Donor","16F","1",0.188222222222222,0.0172320760340838,9
"51","Donor","18C","1",0.222333333333333,0.0456618002273235,9
"52","Donor","19A","1",0.224444444444444,0.0110692266115469,9
"53","Donor","22F","1",0.169111111111111,0.0155277529318028,9
"54","Donor","23A","1",0.189375,0.0090069417673259,8
"55","Donor","24F","1",0.265444444444444,0.0120115684978182,9
"56","Donor","3","1",0.169222222222222,0.0101707642015949,9
"57","Donor","33F","1",0.228555555555556,0.016636639617957,9
"58","Donor","35B","1",0.193222222222222,0.0215741615003792,9
"59","Donor","35F","1",0.150444444444444,0.0162335386708437,9
"60","Donor","5","1",0.190555555555556,0.0355672289864951,9
"61","Donor","6C","1",0.230888888888889,0.0396782196061153,9
"62","Donor","7C","1",0.2,0.0154434452114805,9
"63","Donor","7F","1",0.150111111111111,0.0111180533867719,9
"64","Donor","8","1",0.104444444444444,0.0115662343819316,9
"65","Donor","9V","1",0.134555555555556,0.0120841953715495,9
