allele,accession,start,end
gene_OGC1260_group_420,LR536833.1,391587,392972
gene_OGC1260_group_420,LR216040.1,364757,366142
gene_OGC1260_group_420,LR216022.1,457335,458720
gene_OGC1260_group_420,LR216018.1,415779,417164
gene_OGC1260_group_420,CP031248.1,1153892,1152507
gene_OGC1260_group_420,CP026670.1,313437,314822
gene_OGC1260_group_420,CP155532.1,1875577,1874192
gene_OGC1260_group_420,CP131710.1,375665,377050
gene_OGC1260_group_420,CP131706.1,338403,339788
gene_OGC1260_group_420,AP018044.1,2055503,2056888
gene_OGC1260_group_420,CP016633.2,334869,336254
gene_OGC1260_group_420,CP137100.1,1444517,1445902
gene_OGC1260_group_420,AP028604.1,396348,397733
gene_OGC1260_group_420,AP028603.1,396348,397733
gene_OGC1260_group_420,AP026918.1,325906,327291
gene_OGC1260_group_420,CP113267.1,1733527,1732142
gene_OGC1260_group_420,CP035265.1,339989,341374
gene_OGC1260_group_420,CP035264.1,376087,377472
gene_OGC1260_group_420,FM211187.1,313437,314822
gene_OGC1260_group_420,CR931685.1,11760,13145
gene_OGC1260_group_420,AF057294.1,11919,13304
gene_OGC1260_group_420,CR931683.1,11196,12581
gene_OGC1260_group_420,AF030373.1,12378,13763
gene_OGC1260_group_420,CP016227.1,352174,353484
gene_OGC1260_group_420,CP016227.1,352100,352177
gene_OGC1260_group_420,LT594598.1,12446,13789
gene_OGC1260_group_420,CR931684.1,12455,13798
gene_OGC1260_group_420,CP016632.2,338370,339215
gene_OGC1260_group_420,CP016632.2,337215,337742
gene_OGC1260_group_420,AY163196.1,123,623
gene_OGC1260_group_420,AY163191.1,123,623
gene_OGC1260_group_420,AY163197.1,123,623
gene_OGC1260_group_420,AY163193.1,123,623
gene_OGC1260_group_420,CP036529.1,697085,695805
gene_OGC1260_group_420,CR931633.1,12325,13605
gene_OGC1260_group_420,AF026471.3,12125,13405
gene_OGC1260_group_420,CP102583.1,35751,34471
gene_OGC1260_group_420,CP118286.1,239879,238599
gene_OGC1260_group_420,CP118285.1,405264,403984
gene_OGC1260_group_420,CP118287.1,285896,284616
gene_OGC1260_group_420,AE007317.1,316878,318158
gene_OGC1260_group_420,CP038808.1,316878,318158
gene_OGC1260_group_420,CP155800.1,1398000,1399280
gene_OGC1260_group_420,CP079922.1,318246,319526
gene_OGC1260_group_420,LS483390.1,318246,319526
gene_OGC1260_group_420,CP000410.2,324408,325688
gene_OGC1260_group_420,CP061208.1,324821,326101
gene_OGC1260_group_420,CP027540.1,324864,326144
gene_OGC1260_group_420,LS483374.1,324864,326144
gene_OGC1260_group_420,CP035238.1,324863,326143
gene_OGC1260_group_420,CP118288.1,194518,195798
gene_OGC1260_group_420,CR931710.1,18853,20052
gene_OGC1260_group_420,LR216054.1,2046639,2045440
gene_OGC1260_group_420,AP026916.1,340183,341382
gene_OGC1260_group_420,LR216017.1,2131826,2130627
gene_OGC1260_group_420,CR931690.1,17128,18327
gene_OGC1260_group_420,CR931689.2,17157,18356
gene_OGC1259_group_962,CR931683.1,8984,9955
gene_OGC1259_group_962,CP131706.1,336191,337162
gene_OGC1259_group_962,CP131706.1,1280771,1279845
gene_OGC1259_group_962,CP131706.1,159280,159609
gene_OGC1259_group_962,CP131706.1,114376,115011
gene_OGC1259_group_962,AP028604.1,394136,395107
gene_OGC1259_group_962,AP028604.1,1293354,1292428
gene_OGC1259_group_962,AP028604.1,165772,166407
gene_OGC1259_group_962,AP028604.1,198553,198879
gene_OGC1259_group_962,AP028603.1,394136,395107
gene_OGC1259_group_962,AP028603.1,1293391,1292465
gene_OGC1259_group_962,AP028603.1,165772,166407
gene_OGC1259_group_962,AP028603.1,198553,198879
gene_OGC1259_group_962,AP026918.1,323694,324665
gene_OGC1259_group_962,AP026918.1,1230847,1229921
gene_OGC1259_group_962,AP026918.1,95587,96222
gene_OGC1259_group_962,AP026918.1,128065,128391
gene_OGC1259_group_962,AP018044.1,2053291,2054262
gene_OGC1259_group_962,AP018044.1,843686,842760
gene_OGC1259_group_962,AP018044.1,2240818,2240183
gene_OGC1259_group_962,AP018044.1,1216160,1215525
gene_OGC1259_group_962,AP018044.1,2245183,2244554
gene_OGC1259_group_962,AP018044.1,1212826,1212149
gene_OGC1259_group_962,AP018044.1,1220526,1220269
gene_OGC1259_group_962,AP018044.1,1220285,1219896
gene_OGC1259_group_962,AP018044.1,2237485,2237174
gene_OGC1259_group_962,AP018044.1,1838629,1839264
gene_OGC1259_group_962,AP018044.1,1870557,1870886
gene_OGC1259_group_962,LR536833.1,389375,390346
gene_OGC1259_group_962,LR536833.1,1685849,1685073
gene_OGC1259_group_962,LR536833.1,1283255,1282329
gene_OGC1259_group_962,LR536833.1,1694519,1693734
gene_OGC1259_group_962,LR536833.1,1683638,1682961
gene_OGC1259_group_962,LR536833.1,1690343,1690083
gene_OGC1259_group_962,LR536833.1,1690099,1689656
gene_OGC1259_group_962,LR536833.1,166099,166734
gene_OGC1259_group_962,LR536833.1,211389,211718
gene_OGC1259_group_962,LR216040.1,362545,363516
gene_OGC1259_group_962,LR216040.1,1335080,1334154
gene_OGC1259_group_962,LR216040.1,166824,167153
gene_OGC1259_group_962,LR216040.1,132209,132844
gene_OGC1259_group_962,LR216022.1,455123,456094
gene_OGC1259_group_962,LR216022.1,1350432,1349506
gene_OGC1259_group_962,LR216022.1,249926,250255
gene_OGC1259_group_962,LR216022.1,212597,213232
gene_OGC1259_group_962,LR216018.1,413567,414538
gene_OGC1259_group_962,LR216018.1,1311106,1310180
gene_OGC1259_group_962,LR216018.1,1672622,1671870
gene_OGC1259_group_962,LR216018.1,1668455,1667751
gene_OGC1259_group_962,LR216018.1,1660412,1659735
gene_OGC1259_group_962,LR216018.1,239996,240325
gene_OGC1259_group_962,LR216018.1,200056,200691
gene_OGC1259_group_962,CP031248.1,1156104,1155133
gene_OGC1259_group_962,CP031248.1,180217,181143
gene_OGC1259_group_962,CP031248.1,1351688,1351359
gene_OGC1259_group_962,CP031248.1,1386303,1385668
gene_OGC1259_group_962,CP026670.1,311225,312196
gene_OGC1259_group_962,CP026670.1,1303052,1302126
gene_OGC1259_group_962,CP026670.1,1721370,1720585
gene_OGC1259_group_962,CP026670.1,1713369,1712734
gene_OGC1259_group_962,CP026670.1,1710035,1709358
gene_OGC1259_group_962,CP026670.1,1717766,1717506
gene_OGC1259_group_962,CP026670.1,1717522,1717133
gene_OGC1259_group_962,CP026670.1,139477,139806
gene_OGC1259_group_962,CP026670.1,104807,105442
gene_OGC1259_group_962,CP155532.1,1877789,1876818
gene_OGC1259_group_962,CP155532.1,885957,886883
gene_OGC1259_group_962,CP155532.1,506945,507730
gene_OGC1259_group_962,CP155532.1,514946,515581
gene_OGC1259_group_962,CP155532.1,518280,518957
gene_OGC1259_group_962,CP155532.1,510549,510809
gene_OGC1259_group_962,CP155532.1,510793,511182
gene_OGC1259_group_962,CP155532.1,2049537,2049208
gene_OGC1259_group_962,CP155532.1,2084207,2083572
gene_OGC1259_group_962,CP131710.1,373453,374424
gene_OGC1259_group_962,CP131710.1,1324001,1323075
gene_OGC1259_group_962,CP131710.1,198135,198464
gene_OGC1259_group_962,CP131710.1,153016,153651
gene_OGC1259_group_962,CP016633.2,332657,333628
gene_OGC1259_group_962,CP016633.2,1240612,1239686
gene_OGC1259_group_962,CP016633.2,95380,96015
gene_OGC1259_group_962,CP016633.2,141526,141855
gene_OGC1259_group_962,CP016632.2,335003,335974
gene_OGC1259_group_962,CP016632.2,1256390,1255464
gene_OGC1259_group_962,CP016632.2,96454,97089
gene_OGC1259_group_962,CP016632.2,143280,143609
gene_OGC1259_group_962,CP137100.1,1442305,1443276
gene_OGC1259_group_962,CP137100.1,206934,206008
gene_OGC1259_group_962,CP137100.1,1212303,1212938
gene_OGC1259_group_962,CP137100.1,1249528,1249857
gene_OGC1259_group_962,CP016227.1,349889,350860
gene_OGC1259_group_962,CP016227.1,1256021,1255647
gene_OGC1259_group_962,CP016227.1,111643,112278
gene_OGC1259_group_962,CP016227.1,158923,159252
gene_OGC1259_group_962,CP035265.1,337777,338748
gene_OGC1259_group_962,CP035265.1,1225204,1224278
gene_OGC1259_group_962,CP035265.1,100702,101337
gene_OGC1259_group_962,CP035265.1,133176,133505
gene_OGC1259_group_962,CP035264.1,373875,374846
gene_OGC1259_group_962,CP035264.1,1260255,1259329
gene_OGC1259_group_962,CP035264.1,136798,137433
gene_OGC1259_group_962,CP035264.1,169272,169601
gene_OGC1259_group_962,FM211187.1,311225,312196
gene_OGC1259_group_962,FM211187.1,1303052,1302126
gene_OGC1259_group_962,FM211187.1,1721370,1720585
gene_OGC1259_group_962,FM211187.1,1713369,1712734
gene_OGC1259_group_962,FM211187.1,1710035,1709358
gene_OGC1259_group_962,FM211187.1,1717766,1717506
gene_OGC1259_group_962,FM211187.1,1717522,1717133
gene_OGC1259_group_962,FM211187.1,139477,139806
gene_OGC1259_group_962,FM211187.1,104807,105442
gene_OGC1259_group_962,CR931685.1,9548,10519
gene_OGC1259_group_962,AF057294.1,9707,10678
gene_OGC1259_group_962,AF030373.1,10166,11137
gene_OGC1259_group_962,CP113267.1,1735739,1734768
gene_OGC1259_group_962,CP113267.1,1110563,1109637
gene_OGC1259_group_962,CP113267.1,427579,428364
gene_OGC1259_group_962,CP113267.1,437348,437983
gene_OGC1259_group_962,CP113267.1,431755,432441
gene_OGC1259_group_962,CP113267.1,440834,441358
gene_OGC1259_group_962,CP113267.1,440682,440888
gene_OGC1259_group_962,CP113267.1,90107,90742
gene_OGC1259_group_962,CP113267.1,129445,129774
gene_OGC1259_group_962,LT594598.1,10249,11208
gene_OGC1259_group_962,CR931684.1,10258,11217
gene_OGC1259_group_962,EU675999.1,11104,10136
gene_OGC1259_group_962,CR931704.1,8373,9311
gene_OGC1259_group_962,KY009533.1,7405,8343
gene_OGC1259_group_962,KX470740.1,7960,8898
gene_OGC1259_group_962,KX470741.1,7960,8898
gene_OGC1259_group_962,CR931706.1,8711,9649
gene_OGC1259_group_962,KY084477.1,7914,8852
gene_OGC1259_group_962,CR931715.1,8580,9518
gene_OGC1259_group_962,LR216069.1,426569,427507
gene_OGC1259_group_962,LR216069.1,1338783,1337857
gene_OGC1259_group_962,LR216069.1,240694,241023
gene_OGC1259_group_962,LR216069.1,202872,203507
gene_OGC1259_group_962,LR216028.1,301925,302569
gene_OGC1259_group_962,LR216028.1,1344336,1343410
gene_OGC1259_group_962,LR216028.1,300900,301502
gene_OGC1259_group_962,LR216028.1,85564,86199
gene_OGC1259_group_962,LR216028.1,125380,125709
gene_OGC1259_group_962,CP113115.1,102784,102140
gene_OGC1259_group_962,CP113115.1,1350190,1351116
gene_OGC1259_group_962,CP113115.1,103809,103207
gene_OGC1259_group_962,CP113115.1,275507,275178
gene_OGC1259_group_962,CP113115.1,313664,313029
gene_OGC1259_group_962,CP113114.1,422482,423126
gene_OGC1259_group_962,CP113114.1,1455390,1454464
gene_OGC1259_group_962,CP113114.1,421457,422059
gene_OGC1259_group_962,CP113114.1,249759,250088
gene_OGC1259_group_962,CP113114.1,211602,212237
gene_OGC1259_group_962,CR931663.1,9351,9995
gene_OGC1259_group_962,CR931663.1,8315,9088
gene_OGC1259_group_962,KY750635.1,9818,10462
gene_OGC1259_group_962,KY750635.1,8794,9555
gene_OGC1259_group_962,KY750643.1,9148,9792
gene_OGC1259_group_962,KY750643.1,8124,8885
gene_OGC1259_group_962,CR931665.1,9307,9951
gene_OGC1259_group_962,CR931665.1,8283,9044
gene_OGC1259_group_962,CR931664.1,9307,9951
gene_OGC1259_group_962,CR931664.1,8283,9044
gene_OGC1259_group_962,KY750647.1,9155,9799
gene_OGC1259_group_962,KY750647.1,8131,8892
gene_OGC1259_group_962,KY750648.1,9508,10152
gene_OGC1259_group_962,KY750648.1,8484,9245
gene_OGC1259_group_962,KY750639.1,9710,10354
gene_OGC1259_group_962,KY750639.1,8686,9447
gene_OGC1259_group_962,KY750644.1,9752,10396
gene_OGC1259_group_962,KY750644.1,8728,9489
gene_OGC1259_group_962,KY750634.1,9752,10396
gene_OGC1259_group_962,KY750634.1,8728,9489
gene_OGC1259_group_962,KY750638.1,9801,10445
gene_OGC1259_group_962,KY750638.1,8777,9538
gene_OGC1259_group_962,KY750640.1,9820,10464
gene_OGC1259_group_962,KY750640.1,8796,9557
gene_OGC1259_group_962,KY750633.1,9820,10464
gene_OGC1259_group_962,KY750633.1,8796,9557
gene_OGC1259_group_962,KY750637.1,9834,10478
gene_OGC1259_group_962,KY750637.1,8810,9571
gene_OGC1259_group_962,CR931666.1,9702,10346
gene_OGC1259_group_962,CR931666.1,8666,9439
gene_OGC1259_group_962,LR216046.1,452660,453304
gene_OGC1259_group_962,LR216046.1,1371214,1370288
gene_OGC1259_group_962,LR216046.1,451636,452397
gene_OGC1259_group_962,LR216046.1,241253,241582
gene_OGC1259_group_962,LR216046.1,199786,200421
gene_OGC1259_group_962,LR216066.1,329946,330590
gene_OGC1259_group_962,LR216066.1,1325711,1324785
gene_OGC1259_group_962,LR216066.1,1582047,1581373
gene_OGC1259_group_962,LR216066.1,328922,329683
gene_OGC1259_group_962,LR216066.1,121095,121730
gene_OGC1259_group_962,LR216066.1,167025,167354
gene_OGC1259_group_962,LR216052.1,311254,311898
gene_OGC1259_group_962,LR216052.1,1222905,1221979
gene_OGC1259_group_962,LR216052.1,310230,310991
gene_OGC1259_group_962,LR216052.1,92522,93157
gene_OGC1259_group_962,LR216052.1,130410,130739
gene_OGC1259_group_962,CP126249.1,291054,291698
gene_OGC1259_group_962,CP126249.1,1200085,1199159
gene_OGC1259_group_962,CP126249.1,1576274,1575639
gene_OGC1259_group_962,CP126249.1,1583635,1582850
gene_OGC1259_group_962,CP126249.1,1580639,1580010
gene_OGC1259_group_962,CP126249.1,290030,290791
gene_OGC1259_group_962,CP126249.1,1572788,1572264
gene_OGC1259_group_962,CP126249.1,1572940,1572734
gene_OGC1259_group_962,CP126249.1,92926,93561
gene_OGC1259_group_962,CP126249.1,119000,119329
gene_OGC1259_group_962,LR216058.1,288907,289551
gene_OGC1259_group_962,LR216058.1,1144733,1143807
gene_OGC1259_group_962,LR216058.1,1635470,1634835
gene_OGC1259_group_962,LR216058.1,1639838,1639206
gene_OGC1259_group_962,LR216058.1,1632136,1631459
gene_OGC1259_group_962,LR216058.1,287883,288644
gene_OGC1259_group_962,LR216058.1,91396,92031
gene_OGC1259_group_962,LR216058.1,117538,117867
gene_OGC1259_group_962,CP137107.1,742510,741866
gene_OGC1259_group_962,CP137107.1,1954985,1955911
gene_OGC1259_group_962,CP137107.1,1586903,1587538
gene_OGC1259_group_962,CP137107.1,1579540,1580325
gene_OGC1259_group_962,CP137107.1,1590237,1590917
gene_OGC1259_group_962,CP137107.1,1582536,1582796
gene_OGC1259_group_962,CP137107.1,1582772,1583167
gene_OGC1259_group_962,CP137107.1,743534,742773
gene_OGC1259_group_962,CP137107.1,954987,954352
gene_OGC1259_group_962,CP137107.1,916118,915789
gene_OGC1259_group_962,CP060156.1,344473,345117
gene_OGC1259_group_962,CP060156.1,1273933,1273007
gene_OGC1259_group_962,CP060156.1,1713101,1712466
gene_OGC1259_group_962,CP060156.1,1709767,1709090
gene_OGC1259_group_962,CP060156.1,1717467,1717210
gene_OGC1259_group_962,CP060156.1,1717226,1716837
gene_OGC1259_group_962,CP060156.1,343449,344210
gene_OGC1259_group_962,CP060156.1,145450,146085
gene_OGC1259_group_962,CP060156.1,171566,171895
gene_OGC1259_group_962,X85787.1,9524,10168
gene_OGC1259_group_962,X85787.1,8498,9100
gene_OGC1259_group_962,HE651314.1,7069,7713
gene_OGC1259_group_962,HE651314.1,6044,6646
gene_OGC1259_group_962,CR931662.1,9304,9948
gene_OGC1259_group_962,CR931662.1,8279,8881
gene_OGC1259_group_962,OM328062.1,7281,7925
gene_OGC1259_group_962,OM328062.1,6256,6858
gene_OGC1259_group_962,LR216025.1,284730,285374
gene_OGC1259_group_962,LR216025.1,1166271,1165345
gene_OGC1259_group_962,LR216025.1,283705,284307
gene_OGC1259_group_962,LR216025.1,81649,82284
gene_OGC1259_group_962,LR216025.1,114693,115022
gene_OGC1259_group_962,CP035259.1,329379,330023
gene_OGC1259_group_962,CP035259.1,1255172,1254246
gene_OGC1259_group_962,CP035259.1,328354,328956
gene_OGC1259_group_962,CP035259.1,117405,118040
gene_OGC1259_group_962,CP035259.1,155712,156041
gene_OGC1259_group_962,LS483417.1,335851,336495
gene_OGC1259_group_962,LS483417.1,1260964,1260038
gene_OGC1259_group_962,LS483417.1,334826,335428
gene_OGC1259_group_962,LS483417.1,118475,119110
gene_OGC1259_group_962,LS483417.1,164684,165013
gene_OGC1259_group_962,FQ312029.1,316885,317529
gene_OGC1259_group_962,FQ312029.1,1246316,1245390
gene_OGC1259_group_962,FQ312029.1,1620948,1620601
gene_OGC1259_group_962,FQ312029.1,315860,316462
gene_OGC1259_group_962,FQ312029.1,97872,98507
gene_OGC1259_group_962,FQ312029.1,135193,135522
gene_OGC1259_group_962,LR216043.1,344698,345342
gene_OGC1259_group_962,LR216043.1,1272887,1271961
gene_OGC1259_group_962,LR216043.1,1643078,1642443
gene_OGC1259_group_962,LR216043.1,1647443,1646814
gene_OGC1259_group_962,LR216043.1,1639744,1639067
gene_OGC1259_group_962,LR216043.1,343673,344275
gene_OGC1259_group_962,LR216043.1,130959,131594
gene_OGC1259_group_962,LR216043.1,162665,162994
gene_OGC1259_group_962,LR129841.1,316503,317147
gene_OGC1259_group_962,LR129841.1,1256834,1255908
gene_OGC1259_group_962,LR129841.1,1633630,1632956
gene_OGC1259_group_962,LR129841.1,315478,316080
gene_OGC1259_group_962,LR129841.1,97727,98362
gene_OGC1259_group_962,LR129841.1,135048,135377
gene_OGC1259_group_962,CP035262.1,325180,325824
gene_OGC1259_group_962,CP035262.1,1624114,1623338
gene_OGC1259_group_962,CP035262.1,1255194,1254268
gene_OGC1259_group_962,CP035262.1,1633883,1633098
gene_OGC1259_group_962,CP035262.1,1629707,1629003
gene_OGC1259_group_962,CP035262.1,1621707,1621225
gene_OGC1259_group_962,CP035262.1,1621903,1621697
gene_OGC1259_group_962,CP035262.1,324155,324757
gene_OGC1259_group_962,CP035262.1,97402,98037
gene_OGC1259_group_962,CP035262.1,134718,135047
gene_OGC1259_group_962,CP035258.1,329370,330014
gene_OGC1259_group_962,CP035258.1,1257994,1257068
gene_OGC1259_group_962,CP035258.1,328345,328947
gene_OGC1259_group_962,CP035258.1,117362,117997
gene_OGC1259_group_962,CP035258.1,155702,156031
gene_OGC1259_group_962,CP000919.1,320878,321522
gene_OGC1259_group_962,CP000919.1,1213159,1212233
gene_OGC1259_group_962,CP000919.1,1592871,1592119
gene_OGC1259_group_962,CP000919.1,1589267,1588635
gene_OGC1259_group_962,CP000919.1,1582449,1581772
gene_OGC1259_group_962,CP000919.1,319853,320455
gene_OGC1259_group_962,CP000919.1,109799,110434
gene_OGC1259_group_962,CP000919.1,149389,149718
gene_OGC1259_group_962,LR216065.1,296034,296678
gene_OGC1259_group_962,LR216065.1,1205463,1204537
gene_OGC1259_group_962,LR216065.1,1603256,1602582
gene_OGC1259_group_962,LR216065.1,295009,295611
gene_OGC1259_group_962,LR216065.1,77932,78567
gene_OGC1259_group_962,LR216065.1,115252,115581
