"Genome ID","Genome Name","Version","Genome Length","No. Contigs","Smallest Contig","Largest Contig","Average Contig Length","N50","non-ATCG","GC Content"
"64d3c1cf177ad4008e5ab153","AYCs054","v3",2255988,2209,78,168918,1021,64841,0,"40.5"
"64d3c1cf177ad401795ab174","AYCs090","v3",2307013,2865,77,98284,805,21199,0,"40.5"
"64d3c1cf177ad404ff5ab13e","AYCs025","v3",2116970,808,77,113124,2620,45375,0,"39.9"
"64d3c1cf177ad406565ab138","AYCs019","v3",2166601,1243,74,252810,1743,55548,0,"40.0"
"64d3c1cf177ad40a465ab16d","AYCs083","v3",2202445,1579,78,114189,1394,37578,0,"40.2"
"64d3c1cf177ad40e375ab163","AYCs073","v3",2178855,1447,77,153518,1505,42244,0,"40.1"
"64d3c1cf177ad40f365ab142","AYCs029","v3",2256574,2184,77,162449,1033,37024,0,"40.3"
"64d3c1cf177ad411085ab150","AYCs049","v3",2214060,1962,77,87352,1128,25291,0,"40.4"
"64d3c1cf177ad412105ab12d","AYCs008","v3",2144801,1051,78,113731,2040,54843,0,"40.0"
"64d3c1cf177ad418775ab128","AYCs003","v3",2175292,1358,77,193116,1601,72945,0,"40.0"
"64d3c1cf177ad41ae95ab162","AYCs072","v3",2182019,1429,78,131911,1526,41033,0,"40.0"
"64d3c1cf177ad41f2b5ab165","AYCs075","v3",2171008,1234,77,129930,1759,36180,0,"40.0"
"64d3c1cf177ad4217e5ab126","AYCs001","v3",2109265,621,78,252884,3396,55548,0,"39.8"
"64d3c1cf177ad424335ab157","AYCs060","v3",1848859,1617,78,102327,1143,16249,0,"40.9"
"64d3c1cf177ad425795ab140","AYCs027","v3",2132971,989,78,137982,2156,46320,0,"40.0"
"64d3c1cf177ad426655ab137","AYCs018","v3",2143588,927,78,117843,2312,54833,0,"39.8"
"64d3c1cf177ad427075ab15a","AYCs063","v3",3167092,12053,70,77195,262,8147,0,"42.2"
"64d3c1cf177ad428d25ab15b","AYCs065","v3",2260834,2342,78,65643,965,19457,0,"40.3"
