accession,start,end,cds_product
LR536833.1,391587,392972,Error: 'ExactPosition' object has no attribute 'position'
LR216040.1,364757,366142,Error: 'ExactPosition' object has no attribute 'position'
LR216022.1,457335,458720,Error: 'ExactPosition' object has no attribute 'position'
LR216018.1,415779,417164,Error: 'ExactPosition' object has no attribute 'position'
CP031248.1,1153892,1152507,No matching CDS
CP026670.1,313437,314822,Error: 'ExactPosition' object has no attribute 'position'
CP155532.1,1875577,1874192,Error: 'ExactPosition' object has no attribute 'position'
CP131710.1,375665,377050,Error: 'ExactPosition' object has no attribute 'position'
CP131706.1,338403,339788,Error: 'ExactPosition' object has no attribute 'position'
AP018044.1,2055503,2056888,Error: 'ExactPosition' object has no attribute 'position'
CP016633.2,334869,336254,Error: 'ExactPosition' object has no attribute 'position'
CP137100.1,1444517,1445902,No matching CDS
AP028604.1,396348,397733,Error: 'ExactPosition' object has no attribute 'position'
AP028603.1,396348,397733,Error: 'ExactPosition' object has no attribute 'position'
AP026918.1,325906,327291,Error: 'ExactPosition' object has no attribute 'position'
CP113267.1,1733527,1732142,Error: 'ExactPosition' object has no attribute 'position'
CP035265.1,339989,341374,Error: 'ExactPosition' object has no attribute 'position'
CP035264.1,376087,377472,Error: 'ExactPosition' object has no attribute 'position'
FM211187.1,313437,314822,Error: 'ExactPosition' object has no attribute 'position'
CR931685.1,11760,13145,Error: 'ExactPosition' object has no attribute 'position'
AF057294.1,11919,13304,Error: 'ExactPosition' object has no attribute 'position'
CR931683.1,11196,12581,Error: 'ExactPosition' object has no attribute 'position'
AF030373.1,12378,13763,Error: 'ExactPosition' object has no attribute 'position'
CP016227.1,352174,353484,Error: 'ExactPosition' object has no attribute 'position'
CP016227.1,352100,352177,No matching CDS
LT594598.1,12446,13789,Error: 'BeforePosition' object has no attribute 'position'
CR931684.1,12455,13798,Error: 'BeforePosition' object has no attribute 'position'
CP016632.2,338370,339215,No matching CDS
CP016632.2,337215,337742,No matching CDS
AY163196.1,123,623,Error: 'ExactPosition' object has no attribute 'position'
AY163191.1,123,623,Error: 'ExactPosition' object has no attribute 'position'
AY163197.1,123,623,Error: 'ExactPosition' object has no attribute 'position'
AY163193.1,123,623,Error: 'ExactPosition' object has no attribute 'position'
CP036529.1,697085,695805,Error: 'ExactPosition' object has no attribute 'position'
CR931633.1,12325,13605,Error: 'BeforePosition' object has no attribute 'position'
AF026471.3,12125,13405,Error: 'BeforePosition' object has no attribute 'position'
CP102583.1,35751,34471,No matching CDS
CP118286.1,239879,238599,Error: 'ExactPosition' object has no attribute 'position'
CP118285.1,405264,403984,Error: 'ExactPosition' object has no attribute 'position'
CP118287.1,285896,284616,Error: 'ExactPosition' object has no attribute 'position'
AE007317.1,316878,318158,Error: 'BeforePosition' object has no attribute 'position'
CP038808.1,316878,318158,Error: 'BeforePosition' object has no attribute 'position'
CP155800.1,1398000,1399280,Error: 'BeforePosition' object has no attribute 'position'
CP079922.1,318246,319526,Error: 'BeforePosition' object has no attribute 'position'
LS483390.1,318246,319526,Error: 'BeforePosition' object has no attribute 'position'
CP000410.2,324408,325688,Error: 'BeforePosition' object has no attribute 'position'
CP061208.1,324821,326101,Error: 'BeforePosition' object has no attribute 'position'
CP027540.1,324864,326144,Error: 'BeforePosition' object has no attribute 'position'
LS483374.1,324864,326144,Error: 'BeforePosition' object has no attribute 'position'
CP035238.1,324863,326143,Error: 'BeforePosition' object has no attribute 'position'
CP118288.1,194518,195798,Error: 'BeforePosition' object has no attribute 'position'
CR931710.1,18853,20052,Error: 'BeforePosition' object has no attribute 'position'
LR216054.1,2046639,2045440,Error: 'BeforePosition' object has no attribute 'position'
AP026916.1,340183,341382,Error: 'BeforePosition' object has no attribute 'position'
LR216017.1,2131826,2130627,Error: 'BeforePosition' object has no attribute 'position'
CR931690.1,17128,18327,Error: 'BeforePosition' object has no attribute 'position'
CR931689.2,17157,18356,Error: 'BeforePosition' object has no attribute 'position'
CR931683.1,8984,9955,Error: 'BeforePosition' object has no attribute 'position'
CP131706.1,336191,337162,Error: 'BeforePosition' object has no attribute 'position'
CP131706.1,1280771,1279845,Error: 'ExactPosition' object has no attribute 'position'
CP131706.1,159280,159609,Error: 'BeforePosition' object has no attribute 'position'
CP131706.1,114376,115011,Error: 'BeforePosition' object has no attribute 'position'
AP028604.1,394136,395107,Error: 'BeforePosition' object has no attribute 'position'
AP028604.1,1293354,1292428,Error: 'ExactPosition' object has no attribute 'position'
AP028604.1,165772,166407,Error: 'BeforePosition' object has no attribute 'position'
AP028604.1,198553,198879,Error: 'ExactPosition' object has no attribute 'position'
AP028603.1,394136,395107,Error: 'BeforePosition' object has no attribute 'position'
AP028603.1,1293391,1292465,Error: 'ExactPosition' object has no attribute 'position'
AP028603.1,165772,166407,Error: 'BeforePosition' object has no attribute 'position'
AP028603.1,198553,198879,Error: 'ExactPosition' object has no attribute 'position'
AP026918.1,323694,324665,Error: 'BeforePosition' object has no attribute 'position'
AP026918.1,1230847,1229921,Error: 'ExactPosition' object has no attribute 'position'
AP026918.1,95587,96222,Error: 'BeforePosition' object has no attribute 'position'
AP026918.1,128065,128391,Error: 'ExactPosition' object has no attribute 'position'
AP018044.1,2053291,2054262,Error: 'ExactPosition' object has no attribute 'position'
AP018044.1,843686,842760,Error: 'ExactPosition' object has no attribute 'position'
AP018044.1,2240818,2240183,Error: 'ExactPosition' object has no attribute 'position'
AP018044.1,1216160,1215525,Error: 'ExactPosition' object has no attribute 'position'
AP018044.1,2245183,2244554,Error: 'ExactPosition' object has no attribute 'position'
AP018044.1,1212826,1212149,Error: 'ExactPosition' object has no attribute 'position'
AP018044.1,1220526,1220269,Error: 'ExactPosition' object has no attribute 'position'
AP018044.1,1220285,1219896,Error: 'ExactPosition' object has no attribute 'position'
AP018044.1,2237485,2237174,Error: 'ExactPosition' object has no attribute 'position'
AP018044.1,1838629,1839264,Error: 'BeforePosition' object has no attribute 'position'
AP018044.1,1870557,1870886,Error: 'BeforePosition' object has no attribute 'position'
LR536833.1,389375,390346,Error: 'ExactPosition' object has no attribute 'position'
LR536833.1,1685849,1685073,Error: 'BeforePosition' object has no attribute 'position'
LR536833.1,1283255,1282329,Error: 'BeforePosition' object has no attribute 'position'
LR536833.1,1694519,1693734,Error: 'BeforePosition' object has no attribute 'position'
LR536833.1,1683638,1682961,Error: 'BeforePosition' object has no attribute 'position'
LR536833.1,1690343,1690083,Error: 'BeforePosition' object has no attribute 'position'
LR536833.1,1690099,1689656,Error: 'BeforePosition' object has no attribute 'position'
LR536833.1,166099,166734,Error: 'BeforePosition' object has no attribute 'position'
LR536833.1,211389,211718,Error: 'BeforePosition' object has no attribute 'position'
LR216040.1,362545,363516,Error: 'ExactPosition' object has no attribute 'position'
LR216040.1,1335080,1334154,Error: 'BeforePosition' object has no attribute 'position'
LR216040.1,166824,167153,Error: 'BeforePosition' object has no attribute 'position'
LR216040.1,132209,132844,Error: 'BeforePosition' object has no attribute 'position'
LR216022.1,455123,456094,Error: 'ExactPosition' object has no attribute 'position'
LR216022.1,1350432,1349506,Error: 'BeforePosition' object has no attribute 'position'
LR216022.1,249926,250255,Error: 'BeforePosition' object has no attribute 'position'
LR216022.1,212597,213232,Error: 'BeforePosition' object has no attribute 'position'
LR216018.1,413567,414538,Error: 'ExactPosition' object has no attribute 'position'
LR216018.1,1311106,1310180,Error: 'BeforePosition' object has no attribute 'position'
LR216018.1,1672622,1671870,Error: 'BeforePosition' object has no attribute 'position'
LR216018.1,1668455,1667751,Error: 'BeforePosition' object has no attribute 'position'
LR216018.1,1660412,1659735,Error: 'BeforePosition' object has no attribute 'position'
LR216018.1,239996,240325,Error: 'BeforePosition' object has no attribute 'position'
LR216018.1,200056,200691,Error: 'BeforePosition' object has no attribute 'position'
CP031248.1,1156104,1155133,No matching CDS
CP031248.1,180217,181143,No matching CDS
CP031248.1,1351688,1351359,No matching CDS
CP031248.1,1386303,1385668,No matching CDS
CP026670.1,311225,312196,Error: 'ExactPosition' object has no attribute 'position'
CP026670.1,1303052,1302126,Error: 'ExactPosition' object has no attribute 'position'
CP026670.1,1721370,1720585,Error: 'ExactPosition' object has no attribute 'position'
CP026670.1,1713369,1712734,Error: 'ExactPosition' object has no attribute 'position'
CP026670.1,1710035,1709358,Error: 'ExactPosition' object has no attribute 'position'
CP026670.1,1717766,1717506,Error: 'ExactPosition' object has no attribute 'position'
CP026670.1,1717522,1717133,Error: 'ExactPosition' object has no attribute 'position'
CP026670.1,139477,139806,Error: 'BeforePosition' object has no attribute 'position'
CP026670.1,104807,105442,Error: 'BeforePosition' object has no attribute 'position'
CP155532.1,1877789,1876818,Error: 'ExactPosition' object has no attribute 'position'
CP155532.1,885957,886883,Error: 'BeforePosition' object has no attribute 'position'
CP155532.1,506945,507730,Error: 'BeforePosition' object has no attribute 'position'
CP155532.1,514946,515581,Error: 'BeforePosition' object has no attribute 'position'
CP155532.1,518280,518957,Error: 'BeforePosition' object has no attribute 'position'
CP155532.1,510549,510809,Error: 'BeforePosition' object has no attribute 'position'
CP155532.1,510793,511182,Error: 'BeforePosition' object has no attribute 'position'
CP155532.1,2049537,2049208,Error: 'ExactPosition' object has no attribute 'position'
CP155532.1,2084207,2083572,Error: 'ExactPosition' object has no attribute 'position'
CP131710.1,373453,374424,Error: 'ExactPosition' object has no attribute 'position'
