"Genome ID","Genome Name","Version","Serotype"
"64d3c1cf177ad4008e5ab153","AYCs054","seroba-v1.0.1","33F"
"64d3c1cf177ad401795ab174","AYCs090","seroba-v1.0.1","35F"
"64d3c1cf177ad404ff5ab13e","AYCs025","seroba-v1.0.1","untypable"
"64d3c1cf177ad406565ab138","AYCs019","seroba-v1.0.1","untypable"
"64d3c1cf177ad40a465ab16d","AYCs083","seroba-v1.0.1","22F"
"64d3c1cf177ad40e375ab163","AYCs073","seroba-v1.0.1","14"
"64d3c1cf177ad40f365ab142","AYCs029","seroba-v1.0.1","01"
"64d3c1cf177ad411085ab150","AYCs049","seroba-v1.0.1","19A"
"64d3c1cf177ad412105ab12d","AYCs008","seroba-v1.0.1","untypable"
"64d3c1cf177ad418775ab128","AYCs003","seroba-v1.0.1","untypable"
"64d3c1cf177ad41ae95ab162","AYCs072","seroba-v1.0.1","14"
"64d3c1cf177ad41f2b5ab165","AYCs075","seroba-v1.0.1","11A"
"64d3c1cf177ad4217e5ab126","AYCs001","seroba-v1.0.1","untypable"
"64d3c1cf177ad424335ab157","AYCs060","seroba-v1.0.1","untypable"
"64d3c1cf177ad425795ab140","AYCs027","seroba-v1.0.1","untypable"
"64d3c1cf177ad426655ab137","AYCs018","seroba-v1.0.1","untypable"
"64d3c1cf177ad427075ab15a","AYCs063","seroba-v1.0.1","06C"
"64d3c1cf177ad428d25ab15b","AYCs065","seroba-v1.0.1","07C"
"64d3c1cf177ad4292d5ab13d","AYCs024","seroba-v1.0.1","untypable"
"64d3c1cf177ad42f2c5ab16a","AYCs080","seroba-v1.0.1","18C"
"64d3c1cf177ad42f8e5ab133","AYCs014","seroba-v1.0.1","untypable"
"64d3c1cf177ad432535ab155","AYCs056","seroba-v1.0.1","35F"
"64d3c1cf177ad433305ab129","AYCs004","seroba-v1.0.1","untypable"
"64d3c1cf177ad434615ab15c","AYCs066","seroba-v1.0.1","07F"
"64d3c1cf177ad438065ab154","AYCs055","seroba-v1.0.1","35B"
"64d3c1cf177ad43b6f5ab127","AYCs002","seroba-v1.0.1","untypable"
"64d3c1cf177ad43e945ab151","AYCs050","seroba-v1.0.1","22F"
"64d3c1cf177ad441395ab152","AYCs053","seroba-v1.0.1","serogroup 24"
"64d3c1cf177ad441685ab143","AYCs030","seroba-v1.0.1","03"
"64d3c1cf177ad4462a5ab169","AYCs079","seroba-v1.0.1","16F"
"64d3c1cf177ad449b85ab12c","AYCs007","seroba-v1.0.1","untypable"
"64d3c1cf177ad4526f5ab130","AYCs011","seroba-v1.0.1","untypable"
"64d3c1cf177ad453025ab12e","AYCs009","seroba-v1.0.1","untypable"
"64d3c1cf177ad454c45ab134","AYCs015","seroba-v1.0.1","untypable"
"64d3c1cf177ad454cc5ab175","AYCs091","seroba-v1.0.1","35F"
"64d3c1cf177ad455055ab173","AYCs089","seroba-v1.0.1","35B"
"64d3c1cf177ad455ff5ab136","AYCs017","seroba-v1.0.1","untypable"
"64d3c1cf177ad459e05ab144","AYCs031","seroba-v1.0.1","03"
"64d3c1cf177ad45a705ab170","AYCs086","seroba-v1.0.1","33F"
"64d3c1cf177ad45deb5ab16c","AYCs082","seroba-v1.0.1","35F"
"64d3c1cf177ad463a25ab132","AYCs013","seroba-v1.0.1","untypable"
"64d3c1cf177ad467d95ab14d","AYCs045","seroba-v1.0.1","16F"
"64d3c1cf177ad468505ab149","AYCs037","seroba-v1.0.1","09V"
"64d3c1cf177ad469235ab16b","AYCs081","seroba-v1.0.1","19A"
"64d3c1cf177ad46a615ab13c","AYCs023","seroba-v1.0.1","untypable"
"64d3c1cf177ad46e1e5ab158","AYCs061","seroba-v1.0.1","05"
"64d3c1cf177ad46e9c5ab156","AYCs057","seroba-v1.0.1","35F"
"64d3c1cf177ad46f785ab135","AYCs016","seroba-v1.0.1","untypable"
"64d3c1cf177ad471b55ab131","AYCs012","seroba-v1.0.1","untypable"
"64d3c1cf177ad471c95ab166","AYCs076","seroba-v1.0.1","15B"
"64d3c1cf177ad473b65ab148","AYCs036","seroba-v1.0.1","08"
"64d3c1cf177ad477185ab139","AYCs020","seroba-v1.0.1","untypable"
"64d3c1cf177ad4779d5ab172","AYCs088","seroba-v1.0.1","35B"
"64d3c1cf177ad47ad85ab159","AYCs062","seroba-v1.0.1","05"
"64d3c1cf177ad485835ab167","AYCs077","seroba-v1.0.1","15B"
"64d3c1cf177ad487005ab161","AYCs071","seroba-v1.0.1","09V"
"64d3c1cf177ad48aec5ab12f","AYCs010","seroba-v1.0.1","untypable"
"64d3c1cf177ad48fa05ab15f","AYCs069","seroba-v1.0.1","08"
"64d3c1cf177ad495b85ab177","AYCs093","seroba-v1.0.1","untypable"
"64d3c1cf177ad498495ab12b","AYCs006","seroba-v1.0.1","untypable"
"64d3c1cf177ad4a5395ab178","AYCs094","seroba-v1.0.1","untypable"
"64d3c1cf177ad4a5eb5ab14b","AYCs041","seroba-v1.0.1","14"
"64d3c1cf177ad4ac515ab145","AYCs033","seroba-v1.0.1","07C"
"64d3c1cf177ad4ae6b5ab13f","AYCs026","seroba-v1.0.1","untypable"
"64d3c1cf177ad4b28d5ab14c","AYCs042","seroba-v1.0.1","14"
"64d3c1cf177ad4b3355ab147","AYCs035","seroba-v1.0.1","08"
"64d3c1cf177ad4b4165ab146","AYCs034","seroba-v1.0.1","07F"
"64d3c1cf177ad4bea05ab13a","AYCs021","seroba-v1.0.1","untypable"
"64d3c1cf177ad4c35e5ab13b","AYCs022","seroba-v1.0.1","untypable"
"64d3c1cf177ad4c6d65ab179","AYCs095","seroba-v1.0.1","untypable"
"64d3c1cf177ad4c8955ab16e","AYCs084","seroba-v1.0.1","23A"
"64d3c1cf177ad4ca9c5ab14e","AYCs047","seroba-v1.0.1","18C"
"64d3c1cf177ad4cd885ab171","AYCs087","seroba-v1.0.1","33F"
"64d3c1cf177ad4d1ff5ab176","AYCs092","seroba-v1.0.1","untypable"
"64d3c1cf177ad4da2e5ab12a","AYCs005","seroba-v1.0.1","untypable"
"64d3c1cf177ad4dad25ab168","AYCs078","seroba-v1.0.1","16F"
"64d3c1cf177ad4db1c5ab16f","AYCs085","seroba-v1.0.1","serogroup 24"
"64d3c1cf177ad4dddc5ab14a","AYCs038","seroba-v1.0.1","09V"
"64d3c1cf177ad4e2dd5ab164","AYCs074","seroba-v1.0.1","11C"
"64d3c1cf177ad4e53d5ab15e","AYCs068","seroba-v1.0.1","08"
"64d3c1cf177ad4f74c5ab15d","AYCs067","seroba-v1.0.1","07F"
"64d3c1cf177ad4f9bc5ab160","AYCs070","seroba-v1.0.1","09V"
"64d3c1cf177ad4fd2d5ab14f","AYCs048","seroba-v1.0.1","18C"
"64d3c1cf177ad4ffed5ab141","AYCs028","seroba-v1.0.1","untypable"
